0,1,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,1,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,1,0,22,0,3,10,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,0,0,8,0,0,0,0,0
2,3,0,1,3,0,1,0,0,3,0,0,0,5,4,0,0,1,9,0,0,0,0,0,10,0,4,2,3,0,0,5,0,1,3,1,2,7,4,2,0,2,0,1,0,4,10,4,1,0,32,0,16,25,0,0,4,2,1,0,0,3,1,0,1,5,4,5,3,0,0,0,61,9,0,0,14,0,0,0,0,0
5,6,0,1,4,0,2,0,0,3,0,1,0,14,4,0,2,1,16,0,1,0,0,0,21,3,4,4,3,2,0,14,0,1,6,1,2,7,4,2,0,2,0,5,0,4,26,8,1,0,32,4,26,42,0,2,6,6,1,1,1,3,4,0,8,6,25,6,11,0,0,0,113,14,0,0,38,0,0,0,0,0
10,6,0,1,4,0,2,1,0,4,0,5,0,18,10,0,2,1,16,0,1,0,0,0,31,3,12,5,6,5,0,14,0,7,11,1,2,17,5,2,4,6,0,5,1,4,35,8,1,0,35,4,41,44,0,2,6,7,2,7,1,3,7,2,8,10,46,29,11,3,0,0,215,22,0,2,59,0,0,0,0,0
25,18,0,2,8,0,6,1,0,7,1,5,0,24,15,0,6,1,23,0,1,0,0,0,36,19,24,6,6,7,0,29,1,12,18,3,2,26,17,5,11,9,1,8,4,4,42,12,2,2,40,4,59,44,1,2,12,7,3,11,1,7,7,8,9,10,75,31,13,3,0,5,278,32,0,2,69,0,0,0,2,6
33,18,2,14,13,4,9,4,0,9,1,17,1,31,21,0,12,1,26,0,1,0,0,0,40,37,24,6,6,7,0,55,2,16,28,5,2,41,46,11,18,15,1,11,6,4,54,21,4,2,46,10,93,44,1,3,18,7,3,11,1,7,7,8,9,14,90,40,39,6,0,5,364,42,0,4,105,1,0,0,2,6
42,28,4,14,16,5,9,6,0,11,2,17,1,55,30,0,16,1,29,0,1,0,0,0,49,47,31,8,8,11,1,87,3,19,28,9,3,55,97,22,34,31,4,16,7,5,68,22,8,3,48,14,137,55,1,3,25,7,3,16,3,12,8,12,10,27,106,45,41,6,0,5,446,42,2,17,151,5,0,0,10,7
49,28,11,19,20,8,9,6,0,11,9,18,2,86,48,0,23,1,34,1,2,1,0,0,53,48,44,9,30,11,1,139,6,27,39,11,5,89,191,22,45,43,4,18,10,5,85,25,13,4,48,19,243,55,3,3,31,14,3,18,3,22,9,21,10,37,131,49,41,6,0,5,507,45,5,25,199,7,0,0,10,7
49,38,11,32,24,8,17,15,0,11,9,20,2,107,67,0,37,1,37,1,4,1,0,0,57,63,47,9,44,17,1,179,9,39,57,16,8,113,358,29,47,53,4,19,22,6,108,26,18,4,51,20,386,55,9,4,34,17,10,18,12,22,9,33,13,42,154,56,55,8,0,5,597,49,7,32,236,9,0,0,11,13
57,55,16,39,50,13,26,17,0,11,9,33,4,146,102,0,50,3,39,1,5,3,1,0,62,88,65,10,45,28,1,217,9,53,57,22,8,213,669,29,54,62,4,20,22,6,136,34,32,4,54,44,591,57,12,4,34,23,11,30,12,42,11,53,17,85,158,58,55,8,2,5,597,59,11,32,296,9,0,0,13,16
