1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,4,2,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,2,1,1,1,1,1,1,6,1,2,1,4,4,3,3,1,1,15,1,3,2,1,1,1,1,1,2
1,2,1,2,6,1,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,10,4,3,3,3,2,2,7,1,2,2,2,1,1,1,1,1,1,1,1,2,4,8,1,4,1,23,1,5,11,1,2,1,3,1,1,1,1,6,1,2,1,6,6,3,3,1,1,15,6,3,2,9,1,1,1,1,2
3,4,1,2,6,1,2,1,1,4,1,1,1,6,5,1,1,2,11,1,1,1,1,1,12,4,6,3,4,2,2,7,1,3,5,3,3,8,5,3,1,3,1,2,2,5,11,5,4,1,33,1,18,26,1,2,5,3,2,1,1,4,7,1,3,6,8,9,6,3,1,1,76,10,3,2,15,1,1,1,1,2
6,7,1,2,7,1,3,1,1,4,1,2,1,15,5,1,3,2,18,1,2,1,1,1,23,7,6,5,4,4,2,16,1,3,8,3,3,8,5,3,1,3,1,6,2,5,27,9,4,1,33,5,28,43,1,4,7,7,2,2,2,4,10,1,10,7,29,10,14,3,1,1,128,15,3,2,39,1,1,1,1,2
11,7,1,2,7,1,3,2,1,5,1,6,1,19,11,1,3,2,18,1,2,1,1,1,33,7,14,6,7,7,2,16,1,9,13,3,3,18,6,3,5,7,1,6,3,5,36,9,4,1,36,5,43,45,1,4,7,8,3,8,2,4,13,3,10,11,50,33,14,6,1,1,230,23,3,4,60,1,1,1,1,2
26,19,1,3,11,1,7,2,1,8,2,6,1,25,16,1,7,2,25,1,2,1,1,1,38,23,26,7,7,9,2,31,2,14,20,5,3,27,18,6,12,10,2,9,6,5,43,13,5,3,41,5,61,45,2,4,13,8,4,12,2,8,13,9,11,11,79,35,16,6,1,6,293,33,3,4,70,1,1,1,3,8
34,19,3,15,16,5,10,5,1,10,2,18,2,32,22,1,13,2,28,1,2,1,1,1,42,41,26,7,7,9,2,57,3,18,30,7,3,42,47,12,19,16,2,12,8,5,55,22,7,3,47,11,95,45,2,5,19,8,4,12,2,8,13,9,11,15,94,44,42,9,1,6,379,43,3,6,106,2,1,1,3,8
43,29,5,15,19,6,10,7,1,12,3,18,2,56,31,1,17,2,31,1,2,1,1,1,51,51,33,9,9,13,3,89,4,21,30,11,4,56,98,23,35,32,5,17,9,6,69,23,11,4,49,15,139,56,2,5,26,8,4,17,4,13,14,13,12,28,110,49,44,9,1,6,461,43,5,19,152,6,1,1,11,9
50,29,12,20,23,9,10,7,1,12,10,19,3,87,49,1,24,2,36,2,3,2,1,1,55,52,46,10,31,13,3,141,7,29,41,13,6,90,192,23,46,44,5,19,12,6,86,26,16,5,49,20,245,56,4,5,32,15,4,19,4,23,15,22,12,38,135,53,44,9,1,6,522,46,8,27,200,8,1,1,11,9
50,39,12,33,27,9,18,16,1,12,10,21,3,108,68,1,38,2,39,2,5,2,1,1,59,67,49,10,45,19,3,181,10,41,59,18,9,114,359,30,48,54,5,20,24,7,109,27,21,5,52,21,388,56,10,6,35,18,11,19,13,23,15,34,15,43,158,60,58,11,1,6,612,50,10,34,237,10,1,1,12,15
