,F_equation_0,G_equation_0,type,state
0,-1.393*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
1,-3.535*x_1_0,4.703*x_2_0*(1 - x_1_0),Epidemic,True
2,-x_1_0,exp(0.926*x_2_0)/(exp(0.926*x_2_0) + 5010.04411785891),Neural,True
3,-2.856*x_1_0 + 1.573*tanh(x_1_0),tanh(x_2_0),Excitation,True
4,-1.671*x_1_0**3.0,x_2_0**2.0,Population,True
5,1.305*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
6,0.0,-1.715*x_1_0 + 1.715*x_2_0,Heat,True
7,x_1_0*(0.956 - 0.079*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
8,x_1_0*(1.867 - 0.444*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9,-3.517*x_1_0,1.676*x_2_0*(1 - x_1_0),Epidemic,True
10,-3.182*x_1_0,0.31*x_2_0*(1 - x_1_0),Epidemic,True
11,x_1_0*(1.357 - 1.815*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
12,-x_1_0,exp(1.559*x_2_0)/(exp(1.559*x_2_0) + 455232.246693388),Neural,True
13,-4.054*x_1_0,1.411*x_2_0*(1 - x_1_0),Epidemic,True
14,x_1_0*(1.038 - 0.496*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
15,-x_1_0,exp(2.484*x_2_0)/(exp(2.484*x_2_0) + 1327999.19122366),Neural,True
16,-0.618*x_1_0**1.0,x_2_0**1.0,Population,True
17,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
18,-0.167804492998861*x_1_0*(x_1_0 - 5.654)*(x_1_0 - 1.054) + 0.064,x_1_0*x_2_0/(0.934*x_1_0 + 0.079*x_2_0 + 4.069),Mutualistic,True
19,x_1_0*(1.811 - 0.416*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
20,-2.864*x_1_0 + 4.078*tanh(x_1_0),tanh(x_2_0),Excitation,True
21,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
22,5.88500000000000,9.213*sin(x_1_0*x_2_0),Kuramoto,True
23,0.0,-0.711*x_1_0 + 0.711*x_2_0,Heat,True
24,-3.86*x_1_0 + 1.215*tanh(x_1_0),tanh(x_2_0),Excitation,True
25,-0.868*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
26,8.42000000000000,9.78*sin(x_1_0*x_2_0),Kuramoto,True
27,-0.612*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
