,F_equation_0,F_equation_1,G_equation_0,G_equation_1,type,state
0,0.0,0.0,-0.145*x_1_0*x_2_1,0.078*x_1_0*x_2_1,SI,True
1,0.395*x_1_1,-0.128*x_1_1,-0.132*x_1_0*x_2_1,0.104*x_1_0*x_2_1,SIS,True
2,0.0,0.0,-0.064*x_1_0*x_2_1,0.2*x_1_0*x_2_1,SI,True
3,0.12*x_1_1,-0.15*x_1_1,-0.082*x_1_0*x_2_1,0.194*x_1_0*x_2_1,SIS,True
4,-x_1_0**3 + x_1_0 - x_1_1,0.489*x_1_0 + 0.049*x_1_1 + 0.419,0.791*x_1_0 - 0.791*x_2_0,0.0,FitzHughNagumo,True
5,0.0,0.0,-0.127*x_1_0*x_2_1,0.113*x_1_0*x_2_1,SI,True
6,-x_1_0**3 + x_1_0 - x_1_1,0.434*x_1_0 + 0.025*x_1_1 + 0.309,0.611*x_1_0 - 0.611*x_2_0,0.0,FitzHughNagumo,True
7,0.176*x_1_1,-0.156*x_1_1,-0.145*x_1_0*x_2_1,0.191*x_1_0*x_2_1,SIS,True
8,-x_1_0**3 + x_1_0 - x_1_1,0.281*x_1_0 + 0.01*x_1_1 + 0.428,0.886*x_1_0 - 0.886*x_2_0,0.0,FitzHughNagumo,True
9,-x_1_0**3 + x_1_0 - x_1_1,0.956*x_1_0 + 0.035*x_1_1 + 0.212,1.29*x_1_0 - 1.29*x_2_0,0.0,FitzHughNagumo,True
10,0.0,0.0,-0.144*x_1_0*x_2_1,0.131*x_1_0*x_2_1,SI,True
11,0.194*x_1_1,-0.133*x_1_1,-0.137*x_1_0*x_2_1,0.162*x_1_0*x_2_1,SIS,True
12,-x_1_0**3 + x_1_0 - x_1_1,0.349*x_1_0 + 0.048*x_1_1 + 0.38,1.371*x_1_0 - 1.371*x_2_0,0.0,FitzHughNagumo,True
13,0.261*x_1_1,-0.376*x_1_1,-0.162*x_1_0*x_2_1,0.196*x_1_0*x_2_1,SIS,True
14,0.0,0.0,-0.112*x_1_0*x_2_1,0.098*x_1_0*x_2_1,SI,True
15,0.0,0.0,-0.089*x_1_0*x_2_1,0.079*x_1_0*x_2_1,SI,True
16,0.134*x_1_1,-0.276*x_1_1,-0.194*x_1_0*x_2_1,0.057*x_1_0*x_2_1,SIS,True
17,-x_1_0**3 + x_1_0 - x_1_1,0.999*x_1_0 + 0.038*x_1_1 + 0.428,1.075*x_1_0 - 1.075*x_2_0,0.0,FitzHughNagumo,True
18,-x_1_0**3 + x_1_0 - x_1_1,0.714*x_1_0 + 0.024*x_1_1 + 0.348,1.415*x_1_0 - 1.415*x_2_0,0.0,FitzHughNagumo,True
19,0.0,0.0,-0.097*x_1_0*x_2_1,0.094*x_1_0*x_2_1,SI,True
20,0.209*x_1_1,-0.348*x_1_1,-0.05*x_1_0*x_2_1,0.06*x_1_0*x_2_1,SIS,True
21,0.283*x_1_1,-0.316*x_1_1,-0.161*x_1_0*x_2_1,0.118*x_1_0*x_2_1,SIS,True
22,0.0,0.0,-0.126*x_1_0*x_2_1,0.058*x_1_0*x_2_1,SI,True
23,-x_1_0**3 + x_1_0 - x_1_1,0.503*x_1_0 + 0.023*x_1_1 + 0.21,0.587*x_1_0 - 0.587*x_2_0,0.0,FitzHughNagumo,True
24,-x_1_0**3 + x_1_0 - x_1_1,0.854*x_1_0 + 0.015*x_1_1 + 0.292,0.651*x_1_0 - 0.651*x_2_0,0.0,FitzHughNagumo,True
25,0.0,0.0,-0.175*x_1_0*x_2_1,0.162*x_1_0*x_2_1,SI,True
26,0.0,0.0,-0.127*x_1_0*x_2_1,0.196*x_1_0*x_2_1,SI,True
27,-x_1_0**3 + x_1_0 - x_1_1,0.163*x_1_0 + 0.01*x_1_1 + 0.343,0.524*x_1_0 - 0.524*x_2_0,0.0,FitzHughNagumo,True
28,0.319*x_1_1,-0.177*x_1_1,-0.177*x_1_0*x_2_1,0.123*x_1_0*x_2_1,SIS,True
29,0.12*x_1_1,-0.327*x_1_1,-0.133*x_1_0*x_2_1,0.078*x_1_0*x_2_1,SIS,True
30,0.0,0.0,-0.031*x_1_0*x_2_1,0.075*x_1_0*x_2_1,SI,True
31,0.0,0.0,-0.04*x_1_0*x_2_1,0.023*x_1_0*x_2_1,SI,True
32,0.352*x_1_1,-0.119*x_1_1,-0.054*x_1_0*x_2_1,0.042*x_1_0*x_2_1,SIS,True
33,-x_1_0**3 + x_1_0 - x_1_1,0.797*x_1_0 + 0.021*x_1_1 + 0.216,1.372*x_1_0 - 1.372*x_2_0,0.0,FitzHughNagumo,True
34,0.267*x_1_1,-0.259*x_1_1,-0.083*x_1_0*x_2_1,0.074*x_1_0*x_2_1,SIS,True
35,0.246*x_1_1,-0.384*x_1_1,-0.186*x_1_0*x_2_1,0.141*x_1_0*x_2_1,SIS,True
36,-x_1_0**3 + x_1_0 - x_1_1,0.53*x_1_0 + 0.019*x_1_1 + 0.366,0.765*x_1_0 - 0.765*x_2_0,0.0,FitzHughNagumo,True
37,0.0,0.0,-0.051*x_1_0*x_2_1,0.123*x_1_0*x_2_1,SI,True
38,0.0,0.0,-0.046*x_1_0*x_2_1,0.2*x_1_0*x_2_1,SI,True
39,0.227*x_1_1,-0.369*x_1_1,-0.085*x_1_0*x_2_1,0.137*x_1_0*x_2_1,SIS,True
40,0.133*x_1_1,-0.194*x_1_1,-0.079*x_1_0*x_2_1,0.197*x_1_0*x_2_1,SIS,True
41,0.126*x_1_1,-0.312*x_1_1,-0.198*x_1_0*x_2_1,0.132*x_1_0*x_2_1,SIS,True
42,0.11*x_1_1,-0.172*x_1_1,-0.08*x_1_0*x_2_1,0.032*x_1_0*x_2_1,SIS,True
43,0.343*x_1_1,-0.364*x_1_1,-0.086*x_1_0*x_2_1,0.051*x_1_0*x_2_1,SIS,True
44,0.0,0.0,-0.091*x_1_0*x_2_1,0.146*x_1_0*x_2_1,SI,True
45,0.211*x_1_1,-0.191*x_1_1,-0.192*x_1_0*x_2_1,0.166*x_1_0*x_2_1,SIS,True
46,0.331*x_1_1,-0.329*x_1_1,-0.07*x_1_0*x_2_1,0.14*x_1_0*x_2_1,SIS,True
47,-x_1_0**3 + x_1_0 - x_1_1,0.278*x_1_0 + 0.012*x_1_1 + 0.19,1.221*x_1_0 - 1.221*x_2_0,0.0,FitzHughNagumo,True
48,0.0,0.0,-0.074*x_1_0*x_2_1,0.126*x_1_0*x_2_1,SI,True
49,0.392*x_1_1,-0.153*x_1_1,-0.073*x_1_0*x_2_1,0.082*x_1_0*x_2_1,SIS,True
50,-x_1_0**3 + x_1_0 - x_1_1,0.453*x_1_0 + 0.03*x_1_1 + 0.48,0.636*x_1_0 - 0.636*x_2_0,0.0,FitzHughNagumo,True
51,-x_1_0**3 + x_1_0 - x_1_1,0.626*x_1_0 + 0.024*x_1_1 + 0.315,0.875*x_1_0 - 0.875*x_2_0,0.0,FitzHughNagumo,True
52,0.337*x_1_1,-0.261*x_1_1,-0.037*x_1_0*x_2_1,0.082*x_1_0*x_2_1,SIS,True
53,0.0,0.0,-0.187*x_1_0*x_2_1,0.145*x_1_0*x_2_1,SI,True
54,0.0,0.0,-0.154*x_1_0*x_2_1,0.056*x_1_0*x_2_1,SI,True
55,0.24*x_1_1,-0.268*x_1_1,-0.145*x_1_0*x_2_1,0.105*x_1_0*x_2_1,SIS,True
56,0.163*x_1_1,-0.151*x_1_1,-0.185*x_1_0*x_2_1,0.038*x_1_0*x_2_1,SIS,True
57,0.0,0.0,-0.162*x_1_0*x_2_1,0.126*x_1_0*x_2_1,SI,True
58,-x_1_0**3 + x_1_0 - x_1_1,0.604*x_1_0 + 0.022*x_1_1 + 0.4,1.153*x_1_0 - 1.153*x_2_0,0.0,FitzHughNagumo,True
59,0.231*x_1_1,-0.157*x_1_1,-0.1*x_1_0*x_2_1,0.029*x_1_0*x_2_1,SIS,True
60,0.0,0.0,-0.06*x_1_0*x_2_1,0.14*x_1_0*x_2_1,SI,True
61,-x_1_0**3 + x_1_0 - x_1_1,0.95*x_1_0 + 0.032*x_1_1 + 0.16,1.056*x_1_0 - 1.056*x_2_0,0.0,FitzHughNagumo,True
62,0.0,0.0,-0.072*x_1_0*x_2_1,0.128*x_1_0*x_2_1,SI,True
63,0.179*x_1_1,-0.219*x_1_1,-0.141*x_1_0*x_2_1,0.074*x_1_0*x_2_1,SIS,True
64,0.168*x_1_1,-0.271*x_1_1,-0.118*x_1_0*x_2_1,0.185*x_1_0*x_2_1,SIS,True
65,-x_1_0**3 + x_1_0 - x_1_1,0.569*x_1_0 + 0.046*x_1_1 + 0.355,0.767*x_1_0 - 0.767*x_2_0,0.0,FitzHughNagumo,True
66,-x_1_0**3 + x_1_0 - x_1_1,0.475*x_1_0 + 0.033*x_1_1 + 0.447,1.137*x_1_0 - 1.137*x_2_0,0.0,FitzHughNagumo,True
67,-x_1_0**3 + x_1_0 - x_1_1,0.835*x_1_0 + 0.031*x_1_1 + 0.198,1.301*x_1_0 - 1.301*x_2_0,0.0,FitzHughNagumo,True
68,0.0,0.0,-0.149*x_1_0*x_2_1,0.027*x_1_0*x_2_1,SI,True
69,-x_1_0**3 + x_1_0 - x_1_1,0.824*x_1_0 + 0.039*x_1_1 + 0.331,1.079*x_1_0 - 1.079*x_2_0,0.0,FitzHughNagumo,True
70,0.26*x_1_1,-0.178*x_1_1,-0.099*x_1_0*x_2_1,0.154*x_1_0*x_2_1,SIS,True
71,-x_1_0**3 + x_1_0 - x_1_1,0.359*x_1_0 + 0.035*x_1_1 + 0.417,1.146*x_1_0 - 1.146*x_2_0,0.0,FitzHughNagumo,True
72,0.0,0.0,-0.185*x_1_0*x_2_1,0.13*x_1_0*x_2_1,SI,True
73,0.226*x_1_1,-0.302*x_1_1,-0.125*x_1_0*x_2_1,0.192*x_1_0*x_2_1,SIS,True
74,-x_1_0**3 + x_1_0 - x_1_1,0.999*x_1_0 + 0.036*x_1_1 + 0.208,0.954*x_1_0 - 0.954*x_2_0,0.0,FitzHughNagumo,True
75,0.0,0.0,-0.18*x_1_0*x_2_1,0.068*x_1_0*x_2_1,SI,True
76,-x_1_0**3 + x_1_0 - x_1_1,0.624*x_1_0 + 0.039*x_1_1 + 0.228,0.586*x_1_0 - 0.586*x_2_0,0.0,FitzHughNagumo,True
77,-x_1_0**3 + x_1_0 - x_1_1,0.822*x_1_0 + 0.042*x_1_1 + 0.216,0.931*x_1_0 - 0.931*x_2_0,0.0,FitzHughNagumo,True
78,0.0,0.0,-0.044*x_1_0*x_2_1,0.079*x_1_0*x_2_1,SI,True
79,0.0,0.0,-0.193*x_1_0*x_2_1,0.034*x_1_0*x_2_1,SI,True
80,0.305*x_1_1,-0.305*x_1_1,-0.154*x_1_0*x_2_1,0.138*x_1_0*x_2_1,SIS,True
81,0.27*x_1_1,-0.234*x_1_1,-0.028*x_1_0*x_2_1,0.03*x_1_0*x_2_1,SIS,True
82,0.157*x_1_1,-0.336*x_1_1,-0.081*x_1_0*x_2_1,0.103*x_1_0*x_2_1,SIS,True
83,-x_1_0**3 + x_1_0 - x_1_1,0.252*x_1_0 + 0.027*x_1_1 + 0.27,1.266*x_1_0 - 1.266*x_2_0,0.0,FitzHughNagumo,True
84,-x_1_0**3 + x_1_0 - x_1_1,0.748*x_1_0 + 0.044*x_1_1 + 0.252,0.535*x_1_0 - 0.535*x_2_0,0.0,FitzHughNagumo,True
85,0.289*x_1_1,-0.121*x_1_1,-0.125*x_1_0*x_2_1,0.108*x_1_0*x_2_1,SIS,True
86,-x_1_0**3 + x_1_0 - x_1_1,0.948*x_1_0 + 0.014*x_1_1 + 0.252,0.61*x_1_0 - 0.61*x_2_0,0.0,FitzHughNagumo,True
87,0.282*x_1_1,-0.237*x_1_1,-0.162*x_1_0*x_2_1,0.052*x_1_0*x_2_1,SIS,True
88,-x_1_0**3 + x_1_0 - x_1_1,0.301*x_1_0 + 0.013*x_1_1 + 0.376,0.822*x_1_0 - 0.822*x_2_0,0.0,FitzHughNagumo,True
89,0.387*x_1_1,-0.194*x_1_1,-0.035*x_1_0*x_2_1,0.166*x_1_0*x_2_1,SIS,True
90,0.112*x_1_1,-0.33*x_1_1,-0.062*x_1_0*x_2_1,0.157*x_1_0*x_2_1,SIS,True
91,0.157*x_1_1,-0.197*x_1_1,-0.174*x_1_0*x_2_1,0.143*x_1_0*x_2_1,SIS,True
92,0.0,0.0,-0.187*x_1_0*x_2_1,0.158*x_1_0*x_2_1,SI,True
93,0.0,0.0,-0.024*x_1_0*x_2_1,0.078*x_1_0*x_2_1,SI,True
94,-x_1_0**3 + x_1_0 - x_1_1,0.738*x_1_0 + 0.048*x_1_1 + 0.153,0.889*x_1_0 - 0.889*x_2_0,0.0,FitzHughNagumo,True
95,0.233*x_1_1,-0.161*x_1_1,-0.05*x_1_0*x_2_1,0.056*x_1_0*x_2_1,SIS,True
96,-x_1_0**3 + x_1_0 - x_1_1,0.329*x_1_0 + 0.02*x_1_1 + 0.213,0.763*x_1_0 - 0.763*x_2_0,0.0,FitzHughNagumo,True
97,-x_1_0**3 + x_1_0 - x_1_1,0.98*x_1_0 + 0.011*x_1_1 + 0.291,1.063*x_1_0 - 1.063*x_2_0,0.0,FitzHughNagumo,True
